   Publisher App Market ID,   Publisher App ID,   Publisher App Name,  Publisher Account ID,  Publisher Account Name,Salesforce Monetize Account Region,Salesforce Monetize Account AM  Name,    Report Ad Spend (Unified),    Report    Publisher Revenue,    Report Net Revenue (Unified)
1617391485,624d1d920ea4f6b17766ae63,Block Blast-ios,606c7bac7a37680015801ad8,jiayou,APAC,Sunton Sun,3883694.611687878,2704413.24614,1179281.3655478787
com.king.candycrushsaga,632cc7810ca02c6344d51822,Candy Crush Saga_Android,622b9915ac4bf1001715b790,Activision Blizzard Media (King),Americas,Kasey Geist,2390134.8925367896,1709955.892731,680178.9998057896
com.block.juggle,633549fb3901c096a37b2893,Block Juggle—GP,606c7bac7a37680015801ad8,jiayou,APAC,Sunton Sun,2011831.0738481483,1497900.015506,513931.05834214814
295646461,685f0edd6d5c129491a495a9,Weather - The Weather Channel,685efaf2892f9d0011d7b87f,The Weather Company,Americas,Alex Moore,1572370.6777006867,784090.180294,788280.4974066869
766443283,684fe5259f7ebc7d027585c8,IOS | Flashscore: Live Scores & News,684c3af4806ba9001147f9cd,Livesport sro,EMEA,Louis Wallworth,1509830.2068521364,885054.432564,624775.7742881364
553834731,632cc70d35cc2d93ebf3b2d5,Candy Crush Saga_iOS,622b9915ac4bf1001715b790,Activision Blizzard Media (King),Americas,Kasey Geist,1498480.2251343944,1019778.935693,478701.2894413944
359917414,5346f0f55cd3b9056a000074,iOS Solitaire,561e8d936b8d90f61a000455,Mobility Ware,Americas,Natalie Kenyon,1380386.0310824602,974742.241283,405643.7897994601
com.vitastudio.mahjong,659e1333a5c8c578aac410f0,Vita Mahjong Android,5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,APAC,Aria Gao,1207948.5240090918,701356.501103,506592.0229060919
319881193,5b2abc08c4867b46785c2206,Grindr - iOS,5b2aad55ec47af23be0124fc,Grindr,Americas,Kasey Geist,1040531.5839733308,589050.712066,451480.8719073308
com.snaptube.premium,575d1cfa8eee0c91140000be,Snaptube,575d1c861295e1447c0000e5,snaptube,APAC,Seven Tu,964113.3780135147,591896.718175,372216.65983851464
com.newleaf.app.android.victor,63d77f6407dd8c480b4ebaa1,Reelshort-Android,59baf611f2287a750a0034c2,CrazyMaple Studio,APAC,Harper Zhang,933050.9651052854,600990.735383,332060.22972228547
468996152,650363ddd38855ef54aae568,OfferUp iOS,650360eb0950ee00114dc484,OfferUp,Americas,Kasey Geist,906948.1720958271,599367.521847,307580.6502488271
com.lemon.lvoverseas,64c35f65eaf5dbf4a692b175,Capcut_android,64c3551f1e5137001122d418,BYTEDANCE PTE LTD,APAC,Sunton Sun,901974.6842344111,562061.749864,339912.9343704111
570060128,687fc946b7d9308ece480379,Duolingo,68799f38babc2000110fe539,Duolingo,Americas,Alex Moore,835730.0801559446,479603.821112,356126.2590439446
com.oakever.tiletrip,6642cedde0cbed6459a1b75e,Tile Trip Android,5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,APAC,Aria Gao,752656.6109384525,492339.212547,260317.39839145262
6468921495,653a33af7b1a3c2b6f2b138a,Vita Mahjong,5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,APAC,Aria Gao,749101.3316604671,434984.772819,314116.5588414671
com.dywx.larkplayer,5f07f6f990f19b0001fa32ac,Lark Player,575d1c861295e1447c0000e5,snaptube,APAC,Seven Tu,729909.2353077342,418739.090087,311170.14522073424
1636235979,63d77e2191f962a0f3ba0fbc,Reelshort-iOS,59baf611f2287a750a0034c2,CrazyMaple Studio,APAC,Harper Zhang,667326.3385235835,457531.068676,209795.26984758355
1500855883,64c35f0db00399b5942add11,Capcut_ios,64c3551f1e5137001122d418,BYTEDANCE PTE LTD,APAC,Sunton Sun,652794.2603641222,410052.439244,242741.82112012221
1207472156,58ebd9a452140fe55600117e,Wordscapes,561e8d976b8d90f61a0045d7,"PeopleFun, Inc.",Americas,Matthew Hong,610955.0738422018,413035.834206,197919.2396362018
9wzdncrfhwd2,57979405fb0fb7fc6e0000a2,Solitaire Collection Windows,579643ec6c081adf5c00004c,Microsoft Casual Games,Americas,Matthew Hong,579564.458967,359969.307855,219595.151112
1196764367,5dfae2bf66091a78d58169d1,Words With Friends 3 Word Game,56c3a378adccd1cb7e00000a,Zynga,Americas,Kasey Geist,546734.3690729053,390200.617179,156533.75189390528
com.metropcs.metrozone,64afc9c087a62f8001c6a27d,MetroZone,64afadea4da41800114faaeb,Unity - Americas,Americas,Jack Dove,530784.8406278347,286747.154546,244037.6860818347
com.king.candycrushsodasaga,632cc883144718961252fcd2,Candy Crush Soda Saga_Android,622b9915ac4bf1001715b790,Activision Blizzard Media (King),Americas,Kasey Geist,525199.754829943,374434.896305,150764.85852494297
com.grindrapp.android,5b2abc52c4867b46785c2450,Grindr - Android,5b2aad55ec47af23be0124fc,Grindr,Americas,Kasey Geist,514566.8326353091,292035.003158,222531.82947730907
1496354836,5efb5d6c93032a0001e65bce,Woodoku,5c05196699e4374b87bda3b9,Tripledot Studios,EMEA,Tori Edwards,489723.7335694886,430386.120787,59337.61278248858
399355755,62b9bf18ca3b3113d9762db1,TextFree iOS (53),62b9ac4282628b001b5ab74a,Pinger,Americas,Jack Dove,485861.46248224925,290762.515538,195098.9469442492
com.tripledot.woodoku,5f3fcad2f503650001352dfc,Woodoku,5c05196699e4374b87bda3b9,Tripledot Studios,EMEA,Tori Edwards,474986.6210063747,439244.255985,35742.36502137473
com.intsig.camscanner,5d3e9f2d7ea085001866a696,扫描全能王,5d3a5de9ddc71000189c7a84,"Shanghai Linguan Data Co., Ltd.",APAC,Sunton Sun,471619.2713977388,209192.558264,262426.7131337388
6449190344,66a0d468e33c9a548741a772,Poly.AI iOS,6698b45b60e2ea00114aa807,Poly.AI Android,APAC,Seven Tu,466830.3626618882,288823.3051,178007.05756188818
6748950306,68887aeb5f7b35e31f06647a,Word Solitaire: Associations IOS,6021599b8b3e5600159fcc76,HITAPPS GAMES LTD,EMEA,Beth Taylor-Lowen,460667.18450729974,329337.505173,131329.67933429973
Vidmate,6111ed034fa8e426cba05ace,Vidmate,6108e1635335b40017097948,new insight,APAC,Seven Tu,459490.42898502655,252329.037913,207161.3910720265
591560124,5c708b8a680cf16c1f43417f,Musi - Simple Music Streaming,5bccfdfc02937a3064660fb7,Musi Inc.,Americas,Matthew Hong,423988.8518020994,270400.642568,153588.20923409937
com.macrovideo.v380pro,67e244a666c089d2cb4950a2,V380 Pro,67e22d64b039580011378f33,"Guangzhou Hongshi information Technology Co., Ltd.",APAC,Ronald Long,421005.9380161652,250151.808578,170854.1294381652
1370293473,62d5275500cb8a913fd2b4dd,VPN - Super Unlimited Proxy,629f58df585252001b83d5f1,Super Unlimited Inc.,Americas,Jack Dove,420477.91972730285,281671.312166,138806.60756130287
1598997500,6649f71d6e3e372b114a9a75,Video Lite,6649f6de557b6e0011539536,Snackbox Inc,Americas,Jack Dove,406092.41563241405,210977.067696,195115.34793641407
850417475,632cc7ff0c0bbbf867b264ab,Candy Crush Soda Saga_iOS,622b9915ac4bf1001715b790,Activision Blizzard Media (King),Americas,Kasey Geist,392806.2740635359,274189.452022,118616.82204153594
com.imo.android.imoim,640554dbf2aab3d34f7b4432,imo_stable,63f725cfaa034900149db38c,Bigo,APAC,Harper Zhang,380092.5710100599,192426.602665,187665.9683450599
com.tripledot.solitaire,5c093910a4a7ea3d70999820,Solitaire - A Classic Card Game,5c05196699e4374b87bda3b9,Tripledot Studios,EMEA,Tori Edwards,376853.97386127117,351134.44231,25719.53155127119
305343404,66857e436204497f762a9aad,Tumblr,668545a239a54a0011299e6e,Automattic,Americas,Matthew Hong,374368.2865435327,214685.145972,159683.14057153268
com.firsttouchgames.dls7,62f26eace36b0fcf8cd64d02,Dream League Soccer,6247027c20721a0018bb6528,First Touch Games,EMEA,Louis Wallworth,373119.7783673918,234102.804882,139016.97348539176
com.enflick.android.TextNow,62a0dc588e56934e78819436,TextNow Android,622a3f10c690c40013e4728e,TextNow,Americas,Jack Dove,371374.5283170108,217688.271827,153686.25649001077
1487882541,5ee009ec8ca79a00013f1b95,IOS Spades,561e8d936b8d90f61a000455,Mobility Ware,Americas,Natalie Kenyon,366077.1377945555,261209.421138,104867.71665655554
6740043080,6785d3c3d85b8663adee2cba,Screwdom_IOS_com.dino.screwdom,5ce32f41e15f77001148e36d,Zego Global Ltd,APAC,Nam Trinh,362082.67321315844,219131.554688,142951.1185251584
net.zedge.android,5ee8976e2df77a0001480c94,ZEDGE Wallpapers & Ringtones,5af5b8f9e408f136156e7cae,"Zedge, Inc.",EMEA,Dumitru Cazacu,359853.4056406417,206813.358271,153040.04736964172
