Advertiser App Market ID,  VX Overview Adomain,Advertiser App Title,Advertiser App Liftoff Category,Advertiser App Liftoff Subcategory,  VX Overview Unified Ad Spend
,temu.com,,,,5023564.633204801
com.einnovation.temu,temu.com,Temu: Shop Like a Billionaire,e-Commerce,Shopping,2263088.901176916
1482155847,dreamgames.com,Royal Match,Gaming,Casual,732290.1893168533
553834731,king.com,Candy Crush Saga,Gaming,Casual,602298.1307467998
com.zhiliaoapp.musically,tiktok.com,"TikTok - Videos, Shop & LIVE",Social,Social,526757.6846798109
6479752688,goodjobgames.com,Match Villains,Gaming,Casual,438606.9515926854
1641486558,temu.com,Temu: Shop Like a Billionaire,e-Commerce,Shopping,356935.7184786034
1606549505,dreamgames.com,Royal Kingdom,Gaming,Casual,348643.48162285244
,apple.com,,,,338503.1050185982
1632713844,kalshi.com,Kalshi - Predict the Future,Finance,Finance,301894.46884684346
,,,,,291147.97994475457
6443575749,centurygame.com,Whiteout Survival,Gaming,Casual,272373.1500847863
932493382,revolut.com,"Revolut: Send, spend and save",Finance,Finance,259004.37072011136
6472538445,copilot.microsoft.com,Microsoft Copilot,Utility,Other,223078.97911808777
1621328561,scopely.com,MONOPOLY GO!,Gaming,Casual,211797.5498039237
1623318294,com.mergegame.icookie,Gossip Harbor®: Merge & Story,Gaming,Casual,198865.97108395057
519817714,creditkarma.com,Intuit Credit Karma,Finance,Finance,190364.0007730631
,amazon.com,,,,161488.41190629042
1375031369,draftkings.com,DraftKings Sportsbook & Casino,Entertainment,Entertainment,160498.23925112767
835599320,tiktok.com,"TikTok - Videos, Shop & LIVE",Entertainment,Entertainment,158115.8427330135
com.lazada.android,lazada.com,Lazada 12.12 Mega Sale,e-Commerce,Shopping,142340.8180057342
com.shopee.br,shopee.com.br,Shopee: 12.12 Liquida de Natal,e-Commerce,Shopping,141480.65017464844
com.coupang.mobile,coupang.com,Coupang - Mobile Shopping,e-Commerce,Shopping,124574.21561965361
,paypal.com,,,,123159.38563347216
1446254576,papayagaming.com,Solitaire Cash,Gaming,Casual,119230.66191402015
6468921495,vitastudio.ai,Vita Mahjong,Gaming,Casual,108300.92912240894
,rakuten.co.jp,,,,107304.24016280824
com.scopely.monopolygo,scopely.com,MONOPOLY GO!,Gaming,Casual,107087.96340351147
6446474453,luckyday.com,Solitaire Royale - Win Money,Gaming,Casual,103845.90606290287
com.alibaba.aliexpresshd,aliexpress.com,AliExpress - Shopping App,e-Commerce,Shopping,99831.18613659812
com.shopee.id,shopee.co.id,Shopee Indonesia,e-Commerce,Shopping,99362.94624987568
6739554056,centurygame.com,Kingshot,Gaming,Casual,96526.10768049314
com.zzkko,shein.com,SHEIN-Shopping Online,e-Commerce,Shopping,93617.90662151192
org.xbet.client1-Custom,googll.store,,,,92716.95615499662
6747421212,hplconsultingltd.com,Nile Riches Reelst：Real Cash,Gaming,Casual,86580.41233446295
com.block.juggle,hungrystudio.com,Block Blast!,Gaming,Casual,86348.09313707949
1462060332,casino.draftkings.com,DraftKings Casino - Real Money,Gaming,Casual,85819.76401814194
1327268470,okex.com,OKX: Buy Bitcoin BTC & Crypto,Finance,Finance,83944.73809108773
com.mercadopago.wallet,mercadolibre.com,Mercado Pago: cuenta digital,Finance,Finance,83942.47717038754
1065803457,ligastavok.ru,Лига Ставок — ставки на спорт,Entertainment,Entertainment,83058.33337229592
,trendyol.com,,,,82658.23574280382
com.binance.dev,binance.com,Binance: Buy Bitcoin & Crypto,Finance,Finance,79996.97221617223
com.king.candycrushsaga,king.com,Candy Crush Saga,Gaming,Casual,78524.3789325424
com.revolut.revolut,revolut.com,"Revolut: Spend, Save, Trade",Finance,Finance,78061.62846499847
,walmart.com,,,,77216.45558530827
1620306376,jackpotcity.com,Jackpot City Casino：Real Money,Gaming,Casual,76386.79783101985
com.kx.v,pf1hh5eg3gi8iz8h.com,,,,75523.75331524474
1617391485,hungrystudio.com,Block Blast！,Gaming,Casual,73319.29093251673
1514665962,underdogfantasy.com,Underdog Sports,Entertainment,Entertainment,72371.24403391274
6744304405,goodluckstudioltd.com,Cider Casino,Gaming,Casual,70762.80346788434
535886823,google.com,Google Chrome,Utility,Other,70616.99751500004
1053012308,supercell.net,Clash Royale,Gaming,Casual,70465.54159694564
com.sgiggle.production,tango.me,"Tango- Live Stream, Video Chat",Social,Social,70097.74526885795
6751531813,apps.apple.com,AI CleanKit: Phone Cleaner Pro,Utility,Other,69237.74020700139
,gco.gov.qa,,,,68924.25173428378
6741076536,modo.us,Modo Casino,Gaming,Casual,67405.44693614956
com.shopee.my,shopee.com.my,Shopee MY 12.12,e-Commerce,Shopping,67363.65566206073
org.melbet.client-Custom,melbet.com,,,,66663.81400921314
,homes.com,,,,65490.525986932094
638689075,playrix.com,Township,Gaming,Casual,65215.04068262637
529996768,playtika.com,Bingo Blitz™ - BINGO Games,Gaming,Casual,63622.4605444465
6504421808,grand.gs,Car Match - Traffic Puzzle,Gaming,Casual,62620.8424124895
com.booking,booking.com,Booking.com: Hotels & Travel,Travel,Travel,62382.86567871573
1481947260,kraken.com,Kraken: Buy Crypto & Stocks,Finance,Finance,62023.05741689972
6566176181,gls.com,Gleaming Slots - Win Real Cash,Gaming,Casual,60353.695378183766
1623475587,luckydayapp.com,Bingo Stars - Win Real Money,Gaming,Casual,58819.37791588508
6738905436,wudi360.com,Lavish Luck Casino,Gaming,Casual,57389.95671992025
6450413462,crowncoinscasino.com,CrownCoins Casino,Gaming,Casual,56605.343351571566
6748330232,hplconsultingltd.com,Jackpot Heist Slot,Gaming,Casual,56348.5516206833
6499209744,grand.gs,Magic Sort!,Gaming,Casual,56214.25870749967
6449094229,peak.com,Match Factory!,Gaming,Casual,53559.3675941445
6450110217,matchingham.gs,Triple Match City,Gaming,Casual,53089.33364481979
1436799971,binance.com,Binance: Buy Bitcoin & Crypto,Finance,Finance,52947.80060498781
938003185,robinhood.com,Robinhood: Trading & Investing,Finance,Finance,52770.09828122105
com.x8.games,cloudfront.net,,,,52663.97196658775
6746156453,hplconsultingltd.com,Spin Orb Cyclone：Win Real Cash,Gaming,Casual,51757.87227042163
1259203065,winline.ru,WINLINE,Entertainment,Entertainment,50915.418281769715
1574436604,mico.com,SUGO-Online Chat Party,Social,Social,50043.167505950914
6743212841,betty.ca,Betty Casino: Real Money Slots,Gaming,Casual,48209.25476034118
com.yukidpzb.namastegamezb,vip.oiytrexz.hair,,,,48002.959958821775
555063314,turo.com,Turo — Car rental marketplace,Travel,Travel,47215.85751314078
com.pinterest,pinterest.com,Pinterest,Entertainment,Lifestyle,47115.38624349037
com.dreamgames.royalmatch,dreamgames.com,Royal Match,Gaming,Casual,47051.41221997063
6618142292,mf.cola,Flambé: Merge and Cook,Gaming,Casual,46902.90123225526
com.draftkings.casino,casino.draftkings.com,DraftKings Casino - Real Money,Entertainment,Entertainment,46726.831108094455
1123582513,productmadness.com,Cashman Casino Slots Games,Gaming,Casual,45735.87978286059
1489145500,getfliff.com,Fliff - Social Sports Picks,Entertainment,Entertainment,44769.40519064819
354902315,zynga.com,Zynga Poker ™ - Texas Hold'em,Gaming,Casual,43940.128489506475
sg.bigo.live,bigo.tv,Bigo Live - Live Streaming App,Social,Social,43837.78156808201
ru.paribet-Android,pari-apk.ru,,,,43455.603093287995
1262148500,crypto.com,"Crypto.com: Buy BTC, ETH & CRO",Finance,Finance,42809.12001988882
972558973,azarlive.com,"Azar: Video Chat, Meet Friends",Social,Social,42584.60593908359
com.mexcpro.client,mexc.com,MEXC: Buy Bitcoin BTC & Crypto,Finance,Finance,42397.42863994419
de.cellular.ottohybrid,otto.de,OTTO – Online Shopping & Möbel,e-Commerce,Shopping,41951.32766009248
com.kwai.video,kwai.com,Kwai - Cool Video & Social Fun,Utility,Photo & Video,41896.62896118542
ru.ligastavok.android-mob2,apps.rustore.ru,,,,41315.478015368506
1634589900,pari.ru,PARI - ставки на спорт,Entertainment,Entertainment,38884.305903795714
com.lazada.android,alibaba.com,Lazada 12.12 Mega Sale,e-Commerce,Shopping,38779.07720124664
,mercadolibre.com.mx,,,,38565.73131654751
,https://att.com/,,,,38257.490817448044
1158877342,grammarly.com,Grammarly: AI Writing Keyboard,Utility,Other,37982.24537549124
1077137248,bigo.tv,"BIGO LIVE-Live Stream, Go Live",Social,Social,37788.62047358681
com.doordash.driverapp,doordash.com,DoorDash - Dasher,Finance,Business,37717.923709430645
